"1","Texas","33","20-13","260","7.9"
"2","Kentucky","34","34-0","234","6.9"
"3","UNLV","33","18-15","223","6.8"
"4","Memphis","32","18-14","208","6.5"
"","St. John's (NY)","32","21-11","208","6.5"
"6","Chattanooga","32","22-10","203","6.3"
"7","LSU","32","22-10","198","6.2"
"8","VMI","30","11-19","177","5.9"
"9","Quinnipiac","30","15-15","173","5.8"
"10","Louisiana Tech","34","26-8","193","5.7"
"11","Rhode Island","32","23-9","179","5.6"
"12","Louisville","32","24-8","176","5.5"
"13","Cincinnati","32","22-10","174","5.4"
"14","TCU","33","18-15","176","5.3"
"","Purdue","33","21-12","176","5.3"
"16","NC State","33","20-13","175","5.3"
"17","UConn","34","20-14","178","5.2"
"18","Vermont","31","18-13","161","5.2"
"19","UAB","34","19-15","176","5.2"
"20","Ohio St.","33","23-10","168","5.1"
"21","Syracuse","31","18-13","157","5.1"
"22","Oklahoma St.","31","18-13","156","5.0"
"23","Utah","32","24-8","161","5.0"
"","Oklahoma","32","22-10","161","5.0"
"25","UC Irvine","33","21-12","166","5.0"
"26","San Diego St.","34","26-8","171","5.0"
"","St. Francis Brooklyn","34","23-11","171","5.0"
"","Kansas","34","26-8","171","5.0"
"29","Green Bay","32","24-8","160","5.0"
"30","Vanderbilt","32","19-13","158","4.9"
"31","Washington","31","16-15","153","4.9"
"32","Norfolk St.","34","20-14","167","4.9"
"33","Georgetown","31","21-10","152","4.9"
"34","South Fla.","32","9-23","156","4.9"
"35","Eastern Wash.","34","26-8","165","4.9"
"36","St. Bonaventure","31","18-13","149","4.8"
"37","Clemson","31","16-15","148","4.8"
"38","Holy Cross","30","14-16","143","4.8"
"","NJIT","30","19-11","143","4.8"
"40","Arkansas","34","26-8","162","4.8"
"41","Valparaiso","33","28-5","157","4.8"
"","Florida St.","33","17-16","157","4.8"
"43","Cornell","30","13-17","142","4.7"
"44","Iowa","32","21-11","150","4.7"
"45","McNeese","31","15-16","145","4.7"
"46","Providence","33","22-11","154","4.7"
"47","Georgia","32","21-11","149","4.7"
"48","UNC Asheville","31","15-16","144","4.6"
"49","Harvard","29","22-7","133","4.6"
"50","Utah St.","31","18-13","142","4.6"
"51","Michigan St.","34","23-11","155","4.6"
"","Eastern Mich.","34","21-13","155","4.6"
"53","Northwestern St.","31","19-12","141","4.5"
"54","FIU","33","16-17","150","4.5"
"55","New Mexico","31","15-16","139","4.5"
"56","Sam Houston St.","33","25-8","147","4.5"
"57","Brown","31","13-18","138","4.5"
"58","Portland","32","17-15","142","4.4"
"59","Akron","35","21-14","155","4.4"
"60","Western Caro.","32","15-17","141","4.4"
"61","North Carolina","35","24-11","154","4.4"
"","Southeast Mo. St.","30","13-17","132","4.4"
"63","UNCW","31","18-13","136","4.4"
"64","Winthrop","32","19-13","140","4.4"
"65","Saint Joseph's","31","13-18","135","4.4"
"66","Oregon","34","25-9","147","4.3"
"67","VCU","35","26-9","151","4.3"
"68","SMU","33","27-6","142","4.3"
"","Illinois St.","33","21-12","142","4.3"
"","Temple","33","23-10","142","4.3"
"71","SIUE","28","12-16","120","4.3"
"72","Virginia","32","29-3","137","4.3"
"73","Ohio","30","10-20","128","4.3"
"","UCF","30","12-18","128","4.3"
"75","Massachusetts","32","17-15","135","4.2"
"","Eastern Ill.","32","18-14","135","4.2"
"","Radford","32","21-11","135","4.2"
"78","Georgia St.","33","24-9","139","4.2"
"","Maryland","33","27-6","139","4.2"
"80","Alabama St.","29","19-10","122","4.2"
"81","North Florida","34","23-11","142","4.2"
"","Stony Brook","34","23-11","142","4.2"
"83","Nevada","31","9-22","129","4.2"
"","Jacksonville St.","31","12-19","129","4.2"
"85","Southern California","32","12-20","133","4.2"
"86","La.-Monroe","33","21-12","137","4.2"
"","William & Mary","33","20-13","137","4.2"
"88","Southern U.","35","18-17","145","4.1"
"89","Nicholls St.","29","10-19","120","4.1"
"90","Austin Peay","30","8-22","124","4.1"
"91","Houston Baptist","28","12-16","115","4.1"
"92","Seton Hall","31","16-15","127","4.1"
"93","Texas Tech","32","13-19","131","4.1"
"94","Howard","32","16-16","130","4.1"
"95","N.C. Central","33","25-8","134","4.1"
"96","Penn St.","34","18-16","138","4.1"
"","Hampton","34","17-17","138","4.1"
"98","Portland St.","29","15-14","117","4.0"
"99","Buffalo","32","23-9","129","4.0"
"100","UTEP","33","22-11","133","4.0"
"","South Carolina","33","17-16","133","4.0"
"102","Villanova","34","32-2","137","4.0"
"103","Colorado","32","15-17","128","4.0"
"","Weber St.","30","13-17","120","4.0"
"105","Delaware St.","35","18-17","139","4.0"
"","Hawaii","35","22-13","139","4.0"
"107","Baylor","33","24-9","131","4.0"
"108","Towson","32","12-20","127","4.0"
"","Kent St.","32","21-11","127","4.0"
"","Yale","32","22-10","127","4.0"
"","N.C. A&T","32","9-23","127","4.0"
"112","Oregon St.","31","17-14","123","4.0"
"113","Louisiana","34","21-13","134","3.9"
"114","Northwestern","32","15-17","126","3.9"
"115","Central Ark.","29","2-27","114","3.9"
"116","FGCU","32","22-10","125","3.9"
"117","George Washington","34","22-12","132","3.9"
"118","Northern Ariz.","33","19-14","128","3.9"
"119","George Mason","31","9-22","120","3.9"
"120","Iona","35","26-9","135","3.9"
"121","Monmouth","33","18-15","127","3.8"
"","California","33","18-15","127","3.8"
"123","Wake Forest","32","13-19","123","3.8"
"124","Fordham","31","10-21","119","3.8"
"","San Diego","31","15-16","119","3.8"
"126","Lamar University","30","15-15","115","3.8"
"127","South Dakota St.","33","23-10","126","3.8"
"128","Wichita St.","32","28-4","122","3.8"
"","DePaul","32","12-20","122","3.8"
"130","Northeastern","34","23-11","129","3.8"
"131","CSUN","33","9-24","125","3.8"
"132","Houston","32","13-19","121","3.8"
"133","Ole Miss","33","21-12","124","3.8"
"","Iowa St.","33","25-8","124","3.8"
"","Duke","33","29-4","124","3.8"
"","Alabama","33","19-14","124","3.8"
"137","North Dakota St.","32","23-9","120","3.8"
"","Oral Roberts","32","18-14","120","3.8"
"139","Mt. St. Mary's","30","15-15","112","3.7"
"140","UCLA","33","20-13","123","3.7"
"141","Southern Utah","29","10-19","108","3.7"
"142","Rutgers","32","10-22","118","3.7"
"143","Evansville","31","19-12","114","3.7"
"144","New Mexico St.","33","23-10","121","3.7"
"","South Alabama","33","12-21","121","3.7"
"","Drexel","30","11-19","110","3.7"
"147","Bowling Green","32","21-11","117","3.7"
"148","La Salle","33","17-16","120","3.6"
"149","UC Santa Barbara","32","19-13","116","3.6"
"150","SFA","33","29-4","119","3.6"
"151","Delaware","30","10-20","108","3.6"
"152","Arizona","34","31-3","122","3.6"
"153","UC Riverside","31","14-17","111","3.6"
"","Siena","31","11-20","111","3.6"
"155","Florida","33","16-17","118","3.6"
"156","Columbia","28","13-15","100","3.6"
"157","Fresno St.","32","15-17","114","3.6"
"158","Notre Dame","34","29-5","121","3.6"
"159","Army West Point","30","15-15","106","3.5"
"160","Fairfield","31","7-24","109","3.5"
"","Central Conn. St.","31","5-26","109","3.5"
"162","Wisconsin","34","31-3","119","3.5"
"","Southeastern La.","32","9-23","112","3.5"
"","Dartmouth","28","14-14","98","3.5"
"165","Tulsa","33","23-10","115","3.5"
"166","Tennessee St.","31","5-26","108","3.5"
"","Loyola Marymount","31","8-23","108","3.5"
"168","New Orleans","29","11-18","101","3.5"
"169","Marquette","32","13-19","111","3.5"
"170","UT Arlington","31","16-15","107","3.5"
"171","Kennesaw St.","32","10-22","110","3.4"
"","Sacred Heart","32","15-17","110","3.4"
"173","Tennessee Tech","30","12-18","103","3.4"
"174","Fla. Atlantic","29","9-20","99","3.4"
"175","Detroit Mercy","33","15-18","112","3.4"
"","Murray St.","33","28-5","112","3.4"
"177","Pepperdine","31","18-13","105","3.4"
"178","Tennessee","32","16-16","108","3.4"
"","Ark.-Pine Bluff","32","12-20","108","3.4"
"180","UMKC","33","14-19","111","3.4"
"181","Georgia Tech","31","12-19","104","3.4"
"","Duquesne","31","12-19","104","3.4"
"183","Gonzaga","34","32-2","114","3.4"
"184","Navy","32","13-19","107","3.3"
"185","Coastal Caro.","33","24-9","110","3.3"
"","Minnesota","33","18-15","110","3.3"
"187","Old Dominion","31","24-7","103","3.3"
"","Stetson","31","9-22","103","3.3"
"","North Texas","31","14-17","103","3.3"
"190","Western Ky.","32","20-12","106","3.3"
"191","Colorado St.","33","27-6","109","3.3"
"","UNC Greensboro","33","11-22","109","3.3"
"193","Canisius","30","16-14","99","3.3"
"194","Washington St.","31","13-18","102","3.3"
"","UTRGV","31","10-21","102","3.3"
"196","Cleveland St.","32","18-14","105","3.3"
"197","Toledo","33","20-13","108","3.3"
"198","Fairleigh Dickinson","29","8-21","94","3.2"
"199","Morehead St.","34","17-17","110","3.2"
"200","Lehigh","30","16-14","97","3.2"
"201","Missouri St.","31","11-20","100","3.2"
"202","Coppin St.","31","8-23","99","3.2"
"","Ga. Southern","31","22-9","99","3.2"
"204","Richmond","32","19-13","102","3.2"
"205","Prairie View","33","15-18","105","3.2"
"","Illinois","33","19-14","105","3.2"
