"1","Quinnipiac","30","15-15","1361","45.4","989","33.0","12.4"
"2","Arizona","34","31-3","1266","37.2","968","28.5","8.8"
"3","Towson","32","12-20","1256","39.3","979","30.6","8.7"
"4","Coastal Caro.","33","24-9","1311","39.7","1027","31.1","8.6"
"5","Stony Brook","34","23-11","1352","39.8","1064","31.3","8.5"
"6","Texas","33","20-13","1310","39.7","1035","31.4","8.3"
"7","North Carolina","35","24-11","1436","41.0","1150","32.9","8.2"
"8","Baylor","33","24-9","1293","39.2","1030","31.2","8.0"
"9","Virginia","32","29-3","1158","36.2","908","28.4","7.8"
"10","Kentucky","34","34-0","1298","38.2","1045","30.7","7.4"
"11","Sam Houston St.","33","25-8","1325","40.2","1085","32.9","7.3"
"12","Georgia Tech","31","12-19","1187","38.3","962","31.0","7.3"
"13","Valparaiso","33","28-5","1245","37.7","1006","30.5","7.2"
"14","Gonzaga","34","32-2","1286","37.8","1041","30.6","7.2"
"15","SMU","33","27-6","1211","36.7","982","29.8","6.9"
"16","Saint Mary's (CA)","30","21-9","1075","35.8","869","29.0","6.9"
"17","St. Francis Brooklyn","34","23-11","1326","39.0","1094","32.2","6.8"
"18","Michigan St.","34","23-11","1281","37.7","1050","30.9","6.8"
"19","New Mexico St.","33","23-10","1170","35.5","947","28.7","6.8"
"20","Louisiana","34","21-13","1354","39.8","1126","33.1","6.7"
"21","Butler","32","22-10","1175","36.7","968","30.3","6.5"
"22","Houston Baptist","28","12-16","1061","37.9","884","31.6","6.3"
"23","Duke","33","29-4","1232","37.3","1027","31.1","6.2"
"24","Colorado St.","33","27-6","1240","37.6","1042","31.6","6.0"
"25","Wisconsin","34","31-3","1145","33.7","942","27.7","6.0"
"26","Nevada","31","9-22","1221","39.4","1039","33.5","5.9"
"27","Yale","32","22-10","1139","35.6","956","29.9","5.7"
"28","Northern Ariz.","33","19-14","1244","37.7","1065","32.3","5.4"
"","SFA","33","29-4","1147","34.8","968","29.3","5.4"
"30","Old Dominion","31","24-7","1111","35.8","946","30.5","5.3"
"31","Wichita St.","32","28-4","1138","35.6","970","30.3","5.3"
"32","Alabama St.","29","19-10","1150","39.7","999","34.4","5.2"
"33","Utah","32","24-8","1117","34.9","953","29.8","5.1"
"34","Cincinnati","32","22-10","1095","34.2","936","29.3","5.0"
"35","Norfolk St.","34","20-14","1224","36.0","1057","31.1","4.9"
"36","CSU Bakersfield","33","14-19","1143","34.6","983","29.8","4.8"
"37","Northeastern","34","23-11","1127","33.1","963","28.3","4.8"
"38","New Mexico","31","15-16","1081","34.9","933","30.1","4.8"
"39","Tennessee Tech","30","12-18","1110","37.0","967","32.2","4.8"
"40","Albany (NY)","32","24-8","1076","33.6","924","28.9","4.8"
"41","New Hampshire","32","19-13","1174","36.7","1024","32.0","4.7"
"42","BYU","35","25-10","1349","38.5","1185","33.9","4.7"
"43","Texas A&M","32","21-11","1160","36.3","1015","31.7","4.5"
"44","Purdue","33","21-12","1198","36.3","1049","31.8","4.5"
"45","Illinois St.","33","21-12","1180","35.8","1032","31.3","4.5"
"46","Morehead St.","34","17-17","1205","35.4","1053","31.0","4.5"
"47","Jackson St.","32","11-21","1187","37.1","1045","32.7","4.4"
"48","Stanford","33","20-13","1209","36.6","1069","32.4","4.2"
"49","Georgia","32","21-11","1217","38.0","1082","33.8","4.2"
"","Memphis","32","18-14","1195","37.3","1060","33.1","4.2"
"51","George Washington","34","22-12","1252","36.8","1109","32.6","4.2"
"52","Iowa","32","21-11","1206","37.7","1072","33.5","4.2"
"53","St. Bonaventure","31","18-13","1153","37.2","1028","33.2","4.0"
"54","Colorado","32","15-17","1182","36.9","1053","32.9","4.0"
"55","Idaho","30","13-17","1086","36.2","966","32.2","4.0"
"","Seattle U","31","16-15","1050","33.9","926","29.9","4.0"
"57","USC Upstate","35","24-11","1328","37.9","1190","34.0","3.9"
"58","UCLA","33","20-13","1253","38.0","1124","34.1","3.9"
"","Murray St.","33","28-5","1217","36.9","1088","33.0","3.9"
"","Toledo","33","20-13","1204","36.5","1075","32.6","3.9"
"","N.C. Central","33","25-8","1121","34.0","992","30.1","3.9"
"62","Providence","33","22-11","1189","36.0","1061","32.2","3.9"
"63","Charleston So.","30","19-11","1135","37.8","1021","34.0","3.8"
"64","Portland","32","17-15","1139","35.6","1019","31.8","3.8"
"65","Harvard","29","22-7","999","34.4","891","30.7","3.7"
"66","UT Martin","30","18-12","1021","34.0","911","30.4","3.7"
"67","Kansas","34","26-8","1290","37.9","1166","34.3","3.6"
"","Xavier","34","21-13","1184","34.8","1060","31.2","3.6"
"69","Northern Ill.","30","14-16","1039","34.6","931","31.0","3.6"
"70","West Virginia","32","23-9","1177","36.8","1063","33.2","3.6"
"71","Arizona St.","32","17-15","1107","34.6","999","31.2","3.4"
"72","NC State","33","20-13","1249","37.8","1140","34.5","3.3"
"73","Rhode Island","32","23-9","1149","35.9","1044","32.6","3.3"
"74","San Diego St.","34","26-8","1197","35.2","1087","32.0","3.2"
"75","Indiana","33","20-13","1187","36.0","1083","32.8","3.2"
"76","FGCU","32","22-10","1225","38.3","1125","35.2","3.1"
"","Wake Forest","32","13-19","1200","37.5","1100","34.4","3.1"
"78","George Mason","31","9-22","1113","35.9","1018","32.8","3.1"
"79","Buffalo","32","23-9","1230","38.4","1132","35.4","3.1"
"80","Wagner","30","10-20","1112","37.1","1021","34.0","3.0"
"81","Louisville","32","24-8","1221","38.2","1125","35.2","3.0"
"","Fordham","31","10-21","1117","36.0","1024","33.0","3.0"
"83","Ohio St.","33","23-10","1183","35.8","1088","33.0","2.9"
"84","Ole Miss","33","21-12","1245","37.7","1153","34.9","2.8"
"","La.-Monroe","33","21-12","1223","37.1","1131","34.3","2.8"
"86","Georgetown","31","21-10","1089","35.1","1003","32.4","2.8"
"87","Middle Tenn.","35","19-16","1181","33.7","1084","31.0","2.8"
"88","Green Bay","32","24-8","1139","35.6","1051","32.8","2.8"
"89","Radford","32","21-11","1156","36.1","1070","33.4","2.7"
"90","TCU","33","18-15","1214","36.8","1127","34.2","2.6"
"91","Pacific","31","12-19","1075","34.7","995","32.1","2.6"
"92","Mississippi St.","32","13-19","1099","34.3","1017","31.8","2.6"
"93","Hofstra","33","20-13","1207","36.6","1123","34.0","2.5"
"94","Boise St.","33","25-8","1086","32.9","1005","30.5","2.5"
"95","Columbia","28","13-15","916","32.7","848","30.3","2.4"
"96","Lamar University","30","15-15","1061","35.4","989","33.0","2.4"
"97","UNI","33","30-3","1017","30.8","939","28.5","2.4"
"98","LSU","32","22-10","1253","39.2","1180","36.9","2.3"
"99","Tulsa","33","23-10","1210","36.7","1135","34.4","2.3"
"","South Carolina","33","17-16","1178","35.7","1103","33.4","2.3"
"101","Villanova","34","32-2","1170","34.4","1093","32.1","2.3"
"102","Vanderbilt","32","19-13","1084","33.9","1012","31.6","2.3"
"103","UTSA","30","14-16","1071","35.7","1004","33.5","2.2"
"104","South Dakota St.","33","23-10","1182","35.8","1109","33.6","2.2"
"105","Massachusetts","32","17-15","1177","36.8","1108","34.6","2.2"
"106","Clemson","31","16-15","1122","36.2","1057","34.1","2.1"
"107","North Dakota St.","32","23-9","1074","33.6","1008","31.5","2.1"
"108","UMES","32","18-14","1061","33.2","996","31.1","2.0"
"109","Western Ky.","32","20-12","1190","37.2","1126","35.2","2.0"
"110","Creighton","33","14-19","1138","34.5","1073","32.5","2.0"
"111","Ga. Southern","31","22-9","1160","37.4","1099","35.5","2.0"
"112","Pittsburgh","34","19-15","1136","33.4","1070","31.5","1.9"
"113","Charlotte","32","14-18","1166","36.4","1105","34.5","1.9"
"114","New Orleans","29","11-18","1013","34.9","958","33.0","1.9"
"115","Bucknell","33","19-14","1094","33.2","1034","31.3","1.8"
"116","South Dakota","33","17-16","1169","35.4","1110","33.6","1.8"
"117","Tulane","31","15-16","1076","34.7","1023","33.0","1.7"
"118","Southern Ill.","33","12-21","1027","31.1","973","29.5","1.6"
"119","Brown","31","13-18","1129","36.4","1079","34.8","1.6"
"","UC Riverside","31","14-17","1080","34.8","1030","33.2","1.6"
"121","Bowling Green","32","21-11","1122","35.1","1071","33.5","1.6"
"122","Sacred Heart","32","15-17","1225","38.3","1175","36.7","1.6"
"","Howard","32","16-16","1110","34.7","1060","33.1","1.6"
"124","UAB","34","19-15","1244","36.6","1191","35.0","1.6"
"125","Syracuse","31","18-13","1136","36.6","1088","35.1","1.5"
"","Vermont","31","18-13","1022","33.0","974","31.4","1.5"
"127","UC Irvine","33","21-12","1169","35.4","1119","33.9","1.5"
"","Maryland","33","27-6","1157","35.1","1107","33.5","1.5"
"129","Kent St.","32","21-11","1117","34.9","1069","33.4","1.5"
"130","Delaware St.","35","18-17","1343","38.4","1291","36.9","1.5"
"131","Liberty","31","7-24","1088","35.1","1042","33.6","1.5"
"132","Bethune-Cookman","32","11-21","1056","33.0","1009","31.5","1.5"
"133","Lehigh","30","16-14","1085","36.2","1041","34.7","1.5"
"134","Kansas St.","32","15-17","1015","31.7","969","30.3","1.4"
"135","Mercer","33","18-15","1116","33.8","1069","32.4","1.4"
"136","Cal Poly","29","13-16","1002","34.6","961","33.1","1.4"
"137","Wofford","34","28-6","1102","32.4","1054","31.0","1.4"
"138","Oregon","34","25-9","1236","36.4","1189","35.0","1.4"
"139","Tennessee","32","16-16","1040","32.5","996","31.1","1.4"
"140","Chattanooga","32","22-10","1118","34.9","1076","33.6","1.3"
"141","Loyola Maryland","30","11-19","1047","34.9","1010","33.7","1.2"
"142","UC Santa Barbara","32","19-13","1099","34.3","1060","33.1","1.2"
"143","Iowa St.","33","25-8","1184","35.9","1144","34.7","1.2"
"","Florida St.","33","17-16","1109","33.6","1069","32.4","1.2"
"145","UConn","34","20-14","1152","33.9","1111","32.7","1.2"
"146","Temple","33","23-10","1251","37.9","1214","36.8","1.1"
"","Florida","33","16-17","1095","33.2","1058","32.1","1.1"
"148","Oklahoma","32","22-10","1219","38.1","1184","37.0","1.1"
"149","IUPUI","31","10-21","1009","32.5","976","31.5","1.1"
"150","Cleveland St.","32","18-14","1036","32.4","1004","31.4","1.0"
"151","UTEP","33","22-11","1140","34.5","1108","33.6","1.0"
"152","Dartmouth","28","14-14","916","32.7","889","31.8","1.0"
"153","Cal St. Fullerton","31","9-22","1088","35.1","1059","34.2","0.9"
"154","Texas Tech","32","13-19","1072","33.5","1043","32.6","0.9"
"155","Davidson","31","24-7","1114","35.9","1086","35.0","0.9"
"156","California","33","18-15","1171","35.5","1142","34.6","0.9"
"157","UNC Asheville","31","15-16","1121","36.2","1096","35.4","0.8"
"158","Boston U.","30","13-17","953","31.8","929","31.0","0.8"
"159","Hampton","34","17-17","1261","37.1","1234","36.3","0.8"
"160","Akron","35","21-14","1249","35.7","1223","34.9","0.7"
"161","Seton Hall","31","16-15","1123","36.2","1100","35.5","0.7"
"162","Western Mich.","33","20-13","1075","32.6","1053","31.9","0.7"
"","Purdue Fort Wayne","30","16-14","971","32.4","951","31.7","0.7"
"164","San Francisco","32","14-18","1113","34.8","1092","34.1","0.7"
"165","Gardner-Webb","34","20-14","1208","35.5","1186","34.9","0.6"
"","North Florida","34","23-11","1178","34.6","1156","34.0","0.6"
"167","Evansville","31","19-12","993","32.0","973","31.4","0.6"
"168","Bradley","33","9-24","1098","33.3","1077","32.6","0.6"
"169","CSUN","33","9-24","1133","34.3","1113","33.7","0.6"
"170","Belmont","32","22-10","1064","33.3","1045","32.7","0.6"
"171","Illinois","33","19-14","1134","34.4","1115","33.8","0.6"
"172","Penn","28","9-19","885","31.6","871","31.1","0.5"
"173","UNC Greensboro","33","11-22","1138","34.5","1122","34.0","0.5"
"174","Missouri St.","31","11-20","1008","32.5","993","32.0","0.5"
"175","Austin Peay","30","8-22","1043","34.8","1029","34.3","0.5"
"176","Rider","33","21-12","1131","34.3","1116","33.8","0.5"
"177","UT Arlington","31","16-15","1144","36.9","1130","36.5","0.5"
"178","Texas Southern","34","22-12","1174","34.5","1159","34.1","0.4"
"179","Southeast Mo. St.","30","13-17","1049","35.0","1036","34.5","0.4"
"180","Arkansas","34","26-8","1216","35.8","1202","35.4","0.4"
"181","High Point","31","22-9","1019","32.9","1007","32.5","0.4"
"182","Western Caro.","32","15-17","1130","35.3","1120","35.0","0.3"
"183","Ball St.","30","7-23","980","32.7","972","32.4","0.3"
"184","Canisius","30","16-14","1044","34.8","1038","34.6","0.2"
"","NJIT","30","19-11","1007","33.6","1001","33.4","0.2"
"186","Eastern Wash.","34","26-8","1155","34.0","1149","33.8","0.2"
"","Miami (FL)","34","22-12","1142","33.6","1136","33.4","0.2"
"","Saint Peter's","34","16-18","1109","32.6","1103","32.4","0.2"
"189","Niagara","30","8-22","1016","33.9","1011","33.7","0.2"
"190","Oral Roberts","32","18-14","1100","34.4","1095","34.2","0.2"
"191","Notre Dame","34","29-5","1114","32.8","1109","32.6","0.1"
"192","Saint Joseph's","31","13-18","1099","35.5","1095","35.3","0.1"
"193","Weber St.","30","13-17","997","33.2","994","33.1","0.1"
"194","Oakland","33","16-17","1109","33.6","1106","33.5","0.1"
"","Montana","33","20-13","1055","32.0","1052","31.9","0.1"
"196","Central Mich.","32","23-9","1080","33.8","1078","33.7","0.1"
"197","Wyoming","34","25-9","1025","30.1","1023","30.1","0.1"
"198","UNCW","31","18-13","1095","35.3","1094","35.3","0.0"
"199","Duquesne","31","12-19","1124","36.3","1124","36.3","0.0"
"200","Alabama","33","19-14","1089","33.0","1093","33.1","-0.1"
"201","Appalachian St.","29","12-17","1010","34.8","1014","35.0","-0.1"
"202","The Citadel","30","11-19","874","29.1","881","29.4","-0.2"
"203","Detroit Mercy","33","15-18","1109","33.6","1117","33.8","-0.2"
"204","N.C. A&T","32","9-23","1066","33.3","1075","33.6","-0.3"
"205","Utah Valley","30","11-19","988","32.9","998","33.3","-0.3"
"206","Southern U.","35","18-17","1263","36.1","1275","36.4","-0.3"
"207","William & Mary","33","20-13","1065","32.3","1077","32.6","-0.4"
"208","Penn St.","34","18-16","1201","35.3","1216","35.8","-0.4"
"209","FIU","33","16-17","1129","34.2","1144","34.7","-0.5"
"210","Winthrop","32","19-13","1127","35.2","1143","35.7","-0.5"
"","Navy","32","13-19","982","30.7","998","31.2","-0.5"
"212","Lipscomb","31","14-17","1112","35.9","1128","36.4","-0.5"
"","Loyola Marymount","31","8-23","1011","32.6","1027","33.1","-0.5"
"214","Eastern Mich.","34","21-13","1244","36.6","1262","37.1","-0.5"
"215","La Salle","33","17-16","1126","34.1","1144","34.7","-0.5"
"216","Northern Colo.","30","15-15","978","32.6","996","33.2","-0.6"
"217","Georgia St.","33","24-9","1082","32.8","1102","33.4","-0.6"
"218","Washington","31","16-15","1082","34.9","1101","35.5","-0.6"
"219","A&M-Corpus Christi","32","19-13","1039","32.5","1059","33.1","-0.6"
"220","SIUE","28","12-16","969","34.6","987","35.3","-0.6"
"221","Pepperdine","31","18-13","1040","33.5","1060","34.2","-0.6"
"222","Northwestern","32","15-17","1052","32.9","1073","33.5","-0.7"
"223","North Texas","31","14-17","1094","35.3","1115","36.0","-0.7"
"224","Alabama A&M","29","9-20","998","34.4","1018","35.1","-0.7"
"225","UC Davis","32","25-7","995","31.1","1018","31.8","-0.7"
"226","UIC","34","10-24","1142","33.6","1167","34.3","-0.7"
"227","James Madison","33","19-14","1068","32.4","1093","33.1","-0.8"
"","Furman","33","11-22","1068","32.4","1093","33.1","-0.8"
"229","Air Force","31","14-17","930","30.0","954","30.8","-0.8"
"230","Colgate","33","16-17","994","30.1","1020","30.9","-0.8"
"231","LIU Brooklyn","30","12-18","1121","37.4","1145","38.2","-0.8"
"232","Milwaukee","30","14-16","982","32.7","1007","33.6","-0.8"
"233","Montana St.","30","7-23","1009","33.6","1037","34.6","-0.9"
"234","South Alabama","33","12-21","1175","35.6","1207","36.6","-1.0"
"235","ETSU","30","16-14","1052","35.1","1082","36.1","-1.0"
"236","Houston","32","13-19","1129","35.3","1162","36.3","-1.0"
"237","San Diego","31","15-16","1016","32.8","1048","33.8","-1.0"
"238","Army West Point","30","15-15","1033","34.4","1064","35.5","-1.0"
"239","Hawaii","35","22-13","1231","35.2","1268","36.2","-1.1"
"240","Dayton","33","25-8","1041","31.5","1077","32.6","-1.1"
"241","Presbyterian","32","10-22","1029","32.2","1065","33.3","-1.1"
"242","Chicago St.","32","8-24","1059","33.1","1098","34.3","-1.2"
"243","Arkansas St.","29","11-18","1038","35.8","1074","37.0","-1.2"
"244","McNeese","31","15-16","1118","36.1","1157","37.3","-1.3"
"245","VCU","35","26-9","1240","35.4","1287","36.8","-1.3"
"246","Siena","31","11-20","1023","33.0","1065","34.4","-1.4"
"247","Bryant","31","16-15","1029","33.2","1072","34.6","-1.4"
"248","Nicholls St.","29","10-19","981","33.8","1022","35.2","-1.4"
"249","Princeton","30","16-14","913","30.4","956","31.9","-1.4"
"250","Rutgers","32","10-22","1118","34.9","1164","36.4","-1.4"
"251","UNLV","33","18-15","1170","35.5","1220","37.0","-1.5"
"252","Central Conn. St.","31","5-26","1046","33.7","1093","35.3","-1.5"
"253","Monmouth","33","18-15","1080","32.7","1131","34.3","-1.5"
"254","Rice","32","12-20","1019","31.8","1069","33.4","-1.6"
"255","Long Beach St.","33","16-17","1126","34.1","1178","35.7","-1.6"
"256","Loyola Chicago","33","20-13","951","28.8","1004","30.4","-1.6"
"257","Troy","29","10-19","986","34.0","1033","35.6","-1.6"
"258","Holy Cross","30","14-16","930","31.0","980","32.7","-1.7"
"259","Southeastern La.","32","9-23","1068","33.4","1122","35.1","-1.7"
"260","Iona","35","26-9","1260","36.0","1320","37.7","-1.7"
"261","South Fla.","32","9-23","1084","33.9","1139","35.6","-1.7"
"262","Southern California","32","12-20","1149","35.9","1205","37.7","-1.8"
"263","Idaho St.","30","7-23","972","32.4","1025","34.2","-1.8"
"264","Sacramento St.","31","20-11","918","29.6","976","31.5","-1.9"
"265","Manhattan","33","19-14","1065","32.3","1128","34.2","-1.9"
"266","Delaware","30","10-20","1061","35.4","1119","37.3","-1.9"
"267","Lafayette","32","20-12","992","31.0","1057","33.0","-2.0"
"268","Nebraska","31","13-18","1022","33.0","1085","35.0","-2.0"
"","Oklahoma St.","31","18-13","1008","32.5","1071","34.5","-2.0"
"270","Campbell","32","10-22","988","30.9","1054","32.9","-2.1"
"271","Marshall","32","11-21","1191","37.2","1258","39.3","-2.1"
"272","Elon","33","15-18","1151","34.9","1225","37.1","-2.2"
