"1","UCLA","33","29-4","709","381","1.86"
"2","Notre Dame","34","25-9","544","321","1.69"
"3","Saint Mary's (CA)","32","28-4","536","337","1.59"
"4","Cincinnati","34","29-5","538","340","1.58"
"5","Iowa St.","33","23-10","522","335","1.56"
"6","UNCW","34","29-5","550","354","1.55"
"7","North Carolina","34","27-7","619","405","1.53"
"8","SMU","34","30-4","556","369","1.51"
"9","Virginia","32","22-10","456","305","1.50"
"10","Wichita St.","34","30-4","563","379","1.49"
"11","Middle Tenn.","34","30-4","519","354","1.47"
"12","Michigan","35","24-11","483","330","1.46"
"13","Northwestern","34","23-11","519","358","1.45"
"14","Nevada","34","28-6","546","379","1.44"
"15","Princeton","29","23-6","416","289","1.44"
"16","Richmond","33","21-12","552","385","1.43"
"17","Gonzaga","33","32-1","529","373","1.42"
"18","Oregon","34","29-5","558","394","1.42"
"19","William & Mary","31","17-14","543","388","1.40"
"20","Creighton","34","25-9","587","424","1.38"
"21","Purdue","32","25-7","580","419","1.38"
"22","Memphis","32","19-13","508","368","1.38"
"23","Southern California","33","24-9","505","368","1.37"
"24","West Virginia","34","26-8","569","417","1.36"
"25","Wofford","33","16-17","552","405","1.36"
"26","Santa Clara","33","17-16","464","341","1.36"
"27","Marquette","31","19-12","513","378","1.36"
"28","UNC Asheville","32","23-9","499","369","1.35"
"29","Canisius","34","18-16","601","446","1.35"
"30","Louisiana Tech","33","23-10","543","407","1.33"
"31","Marshall","35","20-15","576","433","1.33"
"32","Dayton","31","24-7","489","370","1.32"
"33","Wake Forest","33","19-14","512","389","1.32"
"34","Portland St.","31","15-16","491","376","1.31"
"35","Butler","31","23-8","409","315","1.30"
"36","Iona","34","22-12","531","411","1.29"
"37","Kentucky","34","29-5","528","409","1.29"
"38","Purdue Fort Wayne","31","19-12","543","422","1.29"
"39","Houston","31","21-10","392","305","1.29"
"40","Syracuse","32","18-14","498","388","1.28"
"41","Davidson","32","17-15","500","390","1.28"
"42","Minnesota","33","24-9","492","385","1.28"
"43","Villanova","34","31-3","486","381","1.28"
"44","Belmont","28","22-6","450","353","1.27"
"45","Temple","32","16-16","464","365","1.27"
"46","TCU","34","19-15","563","443","1.27"
"47","Iowa","32","18-14","555","439","1.26"
"48","Youngstown St.","34","13-21","513","406","1.26"
"49","Texas Tech","32","18-14","447","354","1.26"
"50","Akron","34","26-8","499","396","1.26"
"51","UMBC","30","18-12","441","350","1.26"
"52","Texas St.","33","20-13","482","383","1.26"
"53","Loyola Chicago","32","18-14","474","377","1.26"
"54","Arizona St.","33","15-18","430","344","1.25"
"55","Air Force","33","12-21","494","396","1.25"
"56","Elon","32","18-14","466","374","1.25"
"57","Virginia Tech","32","22-10","483","388","1.24"
"58","Florida St.","33","25-8","485","390","1.24"
"59","Kansas","32","28-4","521","419","1.24"
"60","FGCU","33","26-7","509","410","1.24"
"61","Oakland","33","25-8","559","452","1.24"
"62","USC Upstate","32","17-15","500","405","1.23"
"63","Liberty","33","20-13","428","347","1.23"
"64","Wisconsin","34","25-9","460","373","1.23"
"65","Toledo","33","17-16","540","438","1.23"
"66","Hofstra","32","15-17","419","341","1.23"
"67","Holy Cross","32","15-17","431","351","1.23"
"68","Louisville","32","24-8","435","357","1.22"
"69","VCU","34","26-8","519","426","1.22"
"70","Columbia","27","11-16","422","347","1.22"
"71","Old Dominion","31","19-12","422","348","1.21"
"72","Yale","29","18-11","455","377","1.21"
"73","Montana","32","16-16","416","345","1.21"
"74","Arizona","34","30-4","469","389","1.21"
"75","Stetson","32","11-21","436","362","1.20"
"76","Arkansas","34","25-9","479","399","1.20"
"77","Lipscomb","33","20-13","599","500","1.20"
"78","Rhode Island","33","24-9","443","370","1.20"
"","Eastern Ill.","29","14-15","443","370","1.20"
"80","Samford","35","20-15","571","477","1.20"
"81","Michigan St.","33","19-14","560","468","1.20"
"82","Pittsburgh","33","16-17","473","396","1.19"
"83","Morehead St.","30","14-16","482","404","1.19"
"84","Utah St.","31","14-17","466","391","1.19"
"85","Stony Brook","31","18-13","378","318","1.19"
"86","Vermont","34","29-5","455","383","1.19"
"87","The Citadel","33","12-21","561","473","1.19"
"88","Mercer","32","15-17","432","367","1.18"
"89","Kennesaw St.","32","14-18","507","431","1.18"
"90","Oral Roberts","30","8-22","423","360","1.18"
"91","N.C. Central","33","25-8","466","397","1.17"
"92","UT Arlington","33","25-8","508","434","1.17"
"93","Baylor","32","25-7","502","429","1.17"
"94","Clemson","33","17-16","414","354","1.17"
"95","Furman","32","21-11","482","413","1.17"
"96","Washington St.","31","13-18","453","389","1.16"
"97","Savannah St.","29","13-16","501","431","1.16"
"98","Xavier","34","21-13","505","435","1.16"
"99","Duke","35","27-8","458","395","1.16"
"100","BYU","33","22-11","516","449","1.15"
"101","Kansas St.","34","21-13","512","446","1.15"
"102","Weber St.","32","19-13","417","364","1.15"
"103","Colorado","33","19-14","459","403","1.14"
"104","Murray St.","33","16-17","458","403","1.14"
"105","Evansville","33","16-17","442","389","1.14"
"106","North Dakota","31","22-9","469","413","1.14"
"107","IUPUI","32","14-18","455","401","1.13"
"108","Sacramento St.","31","13-18","408","360","1.13"
"109","UAB","33","17-16","503","444","1.13"
"110","Providence","32","20-12","454","403","1.13"
"111","Loyola Marymount","30","15-15","444","395","1.12"
"112","Denver","30","16-14","452","404","1.12"
"113","Penn","28","13-15","401","359","1.12"
"114","Houston Baptist","31","17-14","457","410","1.11"
"115","Milwaukee","35","11-24","467","419","1.11"
"116","Georgia Tech","33","18-15","498","447","1.11"
"117","Texas A&M","31","16-15","489","439","1.11"
"118","Oklahoma St.","32","20-12","469","422","1.11"
"119","Eastern Mich.","33","16-17","443","399","1.11"
"120","Southeast Mo. St.","33","15-18","454","410","1.11"
"121","Maryland","32","24-8","459","415","1.11"
"122","Drexel","32","9-23","470","425","1.11"
"123","Tennessee","32","16-16","441","399","1.11"
"124","Utah","32","20-12","476","431","1.10"
"125","Wyoming","32","18-14","478","433","1.10"
"126","Bucknell","34","26-8","497","451","1.10"
"127","Fairfield","30","16-14","444","403","1.10"
"128","Seattle U","30","13-17","476","436","1.09"
"129","Saint Peter's","32","19-13","386","354","1.09"
"130","Harvard","28","18-10","403","370","1.09"
"131","UNC Greensboro","34","25-9","503","462","1.09"
"132","Sam Houston St.","34","21-13","507","466","1.09"
"133","Illinois St.","33","27-6","447","412","1.08"
"134","Bethune-Cookman","32","10-22","448","413","1.08"
"135","UTEP","32","15-17","463","427","1.08"
"136","Massachusetts","33","15-18","529","489","1.08"
"137","La Salle","30","15-15","425","393","1.08"
"138","Pepperdine","31","9-22","420","389","1.08"
"139","New Mexico St.","33","28-5","490","454","1.08"
"140","Montana St.","32","16-16","423","393","1.08"
"141","Illinois","33","19-14","443","412","1.08"
"142","Louisiana","33","21-12","473","440","1.08"
"143","Bryant","32","12-20","460","428","1.07"
"144","UConn","33","16-17","432","402","1.07"
"145","Army West Point","32","13-19","519","483","1.07"
"146","Ohio","31","20-11","416","388","1.07"
"147","NC State","32","15-17","458","428","1.07"
"148","Florida","32","24-8","404","378","1.07"
"149","Troy","36","22-14","474","445","1.07"
"150","Albany (NY)","34","21-13","430","404","1.06"
"151","Lamar University","33","19-14","472","444","1.06"
"152","Northeastern","31","15-16","414","390","1.06"
"153","Fla. Atlantic","30","10-20","369","348","1.06"
"154","Ball St.","33","21-12","515","486","1.06"
"155","San Jose St.","30","14-16","417","394","1.06"
"156","Georgetown","32","14-18","480","454","1.06"
"157","UT Martin","33","21-12","529","501","1.06"
"158","Stanford","31","14-17","421","399","1.06"
"159","St. Bonaventure","32","20-12","423","401","1.05"
"160","Indiana St.","31","11-20","417","396","1.05"
"161","Penn St.","33","15-18","452","430","1.05"
"162","Vanderbilt","34","19-15","441","420","1.05"
"163","Jacksonville","33","17-16","445","424","1.05"
"164","North Dakota St.","30","19-11","365","348","1.05"
"165","Colorado St.","35","24-11","392","375","1.05"
"166","Central Ark.","32","8-24","465","446","1.04"
"167","New Mexico","31","17-14","419","403","1.04"
"168","Lehigh","32","20-12","467","450","1.04"
"169","Western Mich.","32","16-16","414","399","1.04"
"170","Drake","31","7-24","403","389","1.04"
"171","Jacksonville St.","34","20-14","479","463","1.03"
"172","Binghamton","32","12-20","410","397","1.03"
"173","Northern Ky.","34","24-10","475","460","1.03"
