"1","UCLA","33","29-4","1113","2144","51.9"
"2","Gonzaga","33","32-1","1002","1935","51.8"
"3","Creighton","34","25-9","1052","2071","50.8"
"4","Utah","32","20-12","936","1857","50.4"
"5","FGCU","33","26-7","978","1949","50.2"
"6","Purdue Fort Wayne","31","19-12","998","2008","49.7"
"7","Villanova","34","31-3","913","1837","49.7"
"8","Saint Mary's (CA)","32","28-4","842","1698","49.6"
"9","Vermont","34","29-5","916","1848","49.6"
"10","ETSU","34","27-7","935","1904","49.1"
"11","William & Mary","31","17-14","887","1808","49.1"
"12","Middle Tenn.","34","30-4","961","1962","49.0"
"13","Virginia Tech","32","22-10","864","1764","49.0"
"14","Weber St.","32","19-13","858","1757","48.8"
"15","Marquette","31","19-12","894","1835","48.7"
"16","Kansas","32","28-4","946","1943","48.7"
"17","Loyola Chicago","32","18-14","852","1755","48.5"
"18","Florida St.","33","25-8","982","2032","48.3"
"19","North Dakota","31","22-9","894","1850","48.3"
"20","Michigan","35","24-11","920","1905","48.3"
"21","UNCW","34","29-5","1046","2170","48.2"
"22","Portland St.","31","15-16","959","1991","48.2"
"23","Denver","30","16-14","811","1684","48.2"
"24","Oregon","34","29-5","954","1982","48.1"
"25","Bucknell","34","26-8","915","1902","48.1"
"26","Purdue","32","25-7","894","1864","48.0"
"27","Toledo","33","17-16","915","1909","47.9"
"28","Lehigh","32","20-12","857","1788","47.9"
"29","Gardner-Webb","33","19-14","913","1905","47.9"
"30","Eastern Wash.","33","22-11","918","1916","47.9"
"31","Indiana","34","18-16","959","2004","47.9"
"32","Butler","31","23-8","831","1740","47.8"
"33","Duke","35","27-8","968","2030","47.7"
"34","Kentucky","34","29-5","1026","2152","47.7"
"35","Arizona","34","30-4","891","1873","47.6"
"36","Furman","32","21-11","842","1771","47.5"
"37","Lipscomb","33","20-13","939","1978","47.5"
"38","UNC Asheville","32","23-9","878","1850","47.5"
"39","SMU","34","30-4","890","1879","47.4"
"40","Belmont","28","22-6","750","1584","47.3"
"41","Wichita St.","34","30-4","949","2006","47.3"
"42","New Orleans","32","20-12","830","1755","47.3"
"43","Wake Forest","33","19-14","923","1955","47.2"
"44","Akron","34","26-8","904","1918","47.1"
"45","Baylor","32","25-7","838","1778","47.1"
"46","North Carolina","34","27-7","1055","2239","47.1"
"47","A&M-Corpus Christi","31","20-11","832","1768","47.1"
"48","Georgia St.","32","20-12","861","1830","47.0"
"49","Dayton","31","24-7","802","1705","47.0"
"50","Samford","35","20-15","937","1996","46.9"
"51","Texas Tech","32","18-14","835","1779","46.9"
"52","Austin Peay","30","11-19","806","1718","46.9"
"53","UTEP","32","15-17","812","1731","46.9"
"54","Iowa St.","33","23-10","971","2072","46.9"
"55","UT Martin","33","21-12","918","1961","46.8"
"56","Richmond","33","21-12","879","1878","46.8"
"57","UMBC","30","18-12","852","1821","46.8"
"58","NC State","32","15-17","888","1898","46.8"
"59","Michigan St.","33","19-14","850","1817","46.8"
"60","Albany (NY)","34","21-13","886","1895","46.8"
"61","New Mexico St.","33","28-5","885","1893","46.8"
"62","Louisiana","33","21-12","945","2022","46.7"
"63","Wofford","33","16-17","900","1926","46.7"
"64","Yale","29","18-11","769","1647","46.7"
"65","Louisiana Tech","33","23-10","911","1952","46.7"
"66","Chattanooga","31","19-12","801","1718","46.6"
"67","Jacksonville","33","17-16","878","1885","46.6"
"68","Saint Francis (PA)","33","17-16","911","1959","46.5"
"69","Oklahoma St.","32","20-12","922","1986","46.4"
"70","Virginia","32","22-10","797","1717","46.4"
"71","Kansas St.","34","21-13","848","1829","46.4"
"72","UNC Greensboro","34","25-9","914","1972","46.3"
"73","TCU","34","19-15","913","1970","46.3"
"74","Ohio St.","32","17-15","827","1786","46.3"
"75","Ball St.","33","21-12","899","1945","46.2"
"76","UAB","33","17-16","835","1808","46.2"
"77","Kennesaw St.","32","14-18","892","1932","46.2"
"78","VCU","34","26-8","916","1985","46.1"
"79","CSUN","30","11-19","806","1747","46.1"
"80","Utah St.","31","14-17","790","1713","46.1"
"81","Arkansas St.","32","20-12","826","1792","46.1"
"82","Georgetown","32","14-18","808","1753","46.1"
"83","Arkansas","34","25-9","943","2046","46.1"
"84","Notre Dame","34","25-9","937","2033","46.1"
"85","Morehead St.","30","14-16","878","1906","46.1"
"86","Washington St.","31","13-18","801","1739","46.1"
"87","USC Upstate","32","17-15","914","1985","46.0"
"88","Rice","33","22-11","887","1927","46.0"
"89","Lamar University","33","19-14","888","1931","46.0"
"90","New Mexico","31","17-14","778","1693","46.0"
"91","Sacramento St.","31","13-18","808","1759","45.9"
"92","Northern Ky.","34","24-10","902","1964","45.9"
"93","South Dakota St.","34","18-16","863","1880","45.9"
"94","Texas A&M","31","16-15","804","1754","45.8"
"95","UT Arlington","33","25-8","902","1968","45.8"
"96","West Virginia","34","26-8","986","2153","45.8"
"97","North Dakota St.","30","19-11","775","1693","45.8"
"98","Jacksonville St.","34","20-14","834","1823","45.7"
"99","Troy","36","22-14","958","2095","45.7"
"100","N.C. Central","33","25-8","886","1938","45.7"
