"1","Michigan","35","24-11","330","9.4"
"2","Notre Dame","34","25-9","321","9.4"
"3","Virginia","32","22-10","305","9.5"
"4","Houston","31","21-10","305","9.8"
"5","Princeton","29","23-6","289","10.0"
"6","Cincinnati","34","29-5","340","10.0"
"7","Iowa St.","33","23-10","335","10.2"
"8","Butler","31","23-8","315","10.2"
"9","Stony Brook","31","18-13","318","10.3"
"10","Santa Clara","33","17-16","341","10.3"
"11","Col. of Charleston","35","25-10","364","10.4"
"12","UNCW","34","29-5","354","10.4"
"","Middle Tenn.","34","30-4","354","10.4"
"14","Arizona St.","33","15-18","344","10.4"
"15","Liberty","33","20-13","347","10.5"
"16","Northwestern","34","23-11","358","10.5"
"17","Saint Mary's (CA)","32","28-4","337","10.5"
"18","Hofstra","32","15-17","341","10.7"
"19","Colorado St.","35","24-11","375","10.7"
"20","Clemson","33","17-16","354","10.7"
"21","Cal Poly","31","11-20","333","10.7"
"22","Montana","32","16-16","345","10.8"
"23","SMU","34","30-4","369","10.9"
"24","Holy Cross","32","15-17","351","11.0"
"25","Wisconsin","34","25-9","373","11.0"
"26","Texas Tech","32","18-14","354","11.1"
"","Saint Peter's","32","19-13","354","11.1"
"28","Nevada","34","28-6","379","11.1"
"","Wichita St.","34","30-4","379","11.1"
"30","Southern California","33","24-9","368","11.2"
"31","Louisville","32","24-8","357","11.2"
"32","Villanova","34","31-3","381","11.2"
"33","Rhode Island","33","24-9","370","11.2"
"34","Old Dominion","31","19-12","348","11.2"
"35","Vermont","34","29-5","383","11.3"
"36","Duke","35","27-8","395","11.3"
"37","Gonzaga","33","32-1","373","11.3"
"38","Stetson","32","11-21","362","11.3"
"","Central Mich.","32","16-16","362","11.3"
"40","Weber St.","32","19-13","364","11.4"
"41","UNI","30","14-16","342","11.4"
"42","Temple","32","16-16","365","11.4"
"43","Arizona","34","30-4","389","11.4"
"44","Mercer","32","15-17","367","11.5"
"45","Memphis","32","19-13","368","11.5"
"46","UNC Asheville","32","23-9","369","11.5"
"47","UCLA","33","29-4","381","11.5"
"48","Charleston So.","31","12-19","358","11.5"
"49","Oregon","34","29-5","394","11.6"
"","Texas Southern","34","23-11","394","11.6"
"51","Fla. Atlantic","30","10-20","348","11.6"
"","North Dakota St.","30","19-11","348","11.6"
"53","Texas St.","33","20-13","383","11.6"
"54","Sacramento St.","31","13-18","360","11.6"
"55","Akron","34","26-8","396","11.6"
"56","UMBC","30","18-12","350","11.7"
"","Minnesota","33","24-9","385","11.7"
"","Richmond","33","21-12","385","11.7"
"59","Elon","32","18-14","374","11.7"
"60","Pacific","33","11-22","386","11.7"
