"1","Grand Canyon","33","22-11","560","151","27.0"
"2","Penn","32","24-8","633","185","29.2"
"3","Northeastern","33","23-10","529","158","29.9"
"4","Kentucky","34","24-10","869","260","29.9"
"5","Virginia","33","31-2","670","203","30.3"
"6","San Diego","32","19-13","504","153","30.4"
"7","South Alabama","32","14-18","701","214","30.5"
"8","Murray St.","31","26-5","638","195","30.6"
"9","Middle Tenn.","32","25-7","622","191","30.7"
"10","New Mexico St.","33","28-5","701","216","30.8"
"11","Cincinnati","34","30-4","702","217","30.9"
"12","Northern Ky.","32","22-10","662","205","31.0"
"13","Illinois St.","33","18-15","771","240","31.1"
"14","Green Bay","33","13-20","811","253","31.2"
"15","Nevada","34","27-7","814","254","31.2"
"16","Sam Houston St.","33","19-14","756","236","31.2"
"17","Jacksonville","33","15-18","790","247","31.3"
"18","Saint Mary's (CA)","34","29-5","571","179","31.3"
"19","Valparaiso","32","15-17","612","192","31.4"
"20","NC State","32","21-11","608","192","31.6"
"21","Furman","33","23-10","708","224","31.6"
"22","Utah Valley","33","23-10","690","219","31.7"
"23","UNC Greensboro","34","27-7","705","224","31.8"
"24","Grambling","31","17-14","657","209","31.8"
"25","Tennessee","33","25-8","658","210","31.9"
"26","ETSU","34","25-9","783","250","31.9"
"27","Alabama","34","19-15","739","236","31.9"
"28","Miami (OH)","33","16-17","719","230","32.0"
"29","Rutgers","34","15-19","722","231","32.0"
"30","Providence","34","21-13","730","234","32.1"
"31","Duke","33","26-7","779","250","32.1"
"32","St. Bonaventure","33","26-7","797","256","32.1"
"33","Nebraska","32","22-10","579","186","32.1"
"34","Ohio","31","14-17","772","249","32.3"
"35","Ga. Southern","33","21-12","758","245","32.3"
"36","Temple","32","17-15","686","222","32.4"
"37","Texas St.","33","15-18","698","226","32.4"
"38","Northern Colo.","34","22-12","497","161","32.4"
"39","Texas A&M","32","20-12","747","242","32.4"
"40","Boise St.","31","23-8","662","215","32.5"
"41","South Dakota","34","26-8","760","247","32.5"
"42","Missouri","32","20-12","689","224","32.5"
"43","Tennessee Tech","33","19-14","747","243","32.5"
"44","Jacksonville St.","33","21-12","765","249","32.5"
"45","LIU Brooklyn","35","18-17","743","242","32.6"
"46","Abilene Christian","32","16-16","657","214","32.6"
"47","San Diego St.","32","22-10","754","246","32.6"
"48","Kennesaw St.","30","10-20","613","200","32.6"
"49","Canisius","32","21-11","625","204","32.6"
"50","FGCU","35","23-12","818","267","32.6"
"51","Miami (FL)","31","22-9","634","207","32.6"
"52","Longwood","33","7-26","805","263","32.7"
"","Kansas","34","27-7","805","263","32.7"
"54","UC Davis","32","22-10","655","214","32.7"
"55","Louisville","34","21-13","721","236","32.7"
"56","Houston","33","26-7","669","219","32.7"
"57","UC Irvine","35","18-17","699","229","32.8"
"58","Villanova","34","30-4","726","238","32.8"
"59","Texas Tech","33","24-9","692","227","32.8"
"60","Campbell","31","16-15","631","207","32.8"
"61","Robert Morris","33","16-17","640","210","32.8"
"62","Hampton","35","19-16","786","258","32.8"
"63","Syracuse","33","20-13","798","262","32.8"
"64","Saint Peter's","32","14-18","721","237","32.9"
"65","Albany (NY)","32","22-10","654","215","32.9"
"66","Fla. Atlantic","31","12-19","584","192","32.9"
"67","Creighton","32","21-11","766","252","32.9"
"68","Ark.-Pine Bluff","35","14-21","690","227","32.9"
"69","Loyola Chicago","33","28-5","671","221","32.9"
"70","UC Riverside","31","9-22","707","233","33.0"
"71","N.C. A&T","35","20-15","725","239","33.0"
"72","Bradley","33","20-13","737","243","33.0"
"73","Baylor","33","19-14","752","248","33.0"
"74","Texas","33","19-14","685","226","33.0"
"75","Bethune-Cookman","32","18-14","700","231","33.0"
"76","South Fla.","32","10-22","663","219","33.0"
"77","UIC","32","17-15","690","228","33.0"
"78","UCF","32","19-13","608","201","33.1"
"79","Mississippi St.","33","22-11","747","247","33.1"
"80","Rhode Island","32","25-7","508","168","33.1"
"81","Buffalo","34","26-8","695","230","33.1"
"82","Weber St.","31","20-11","601","199","33.1"
"83","Missouri St.","33","18-15","697","231","33.1"
"84","New Hampshire","31","10-21","639","212","33.2"
"85","Bucknell","34","25-9","660","219","33.2"
"86","Kansas St.","33","22-11","705","234","33.2"
"87","N.C. Central","34","19-15","762","253","33.2"
"","Drake","33","17-16","762","253","33.2"
"89","Hawaii","30","17-13","590","196","33.2"
"90","Washington","32","20-12","659","219","33.2"
"91","Georgia","33","18-15","743","247","33.2"
"92","South Carolina","33","17-16","667","222","33.3"
"93","Winthrop","31","19-12","688","229","33.3"
"94","Michigan St.","33","29-4","720","240","33.3"
"","Southern Ill.","33","20-13","717","239","33.3"
"","Prairie View","34","16-18","690","230","33.3"
"97","Xavier","33","28-5","854","285","33.4"
"98","Seton Hall","32","21-11","725","242","33.4"
"99","Pittsburgh","32","8-24","704","235","33.4"
"100","South Dakota St.","34","28-6","835","279","33.4"
"101","Denver","30","15-15","747","250","33.5"
"102","Nicholls St.","32","21-11","615","206","33.5"
"103","Duquesne","32","16-16","573","192","33.5"
"104","UT Arlington","34","21-13","919","308","33.5"
"105","Belmont","33","24-9","680","228","33.5"
"106","North Texas","32","15-17","626","210","33.5"
"107","San Francisco","33","18-15","557","187","33.6"
"108","Southern U.","33","15-18","701","236","33.7"
"109","BYU","34","24-10","724","244","33.7"
"","Saint Joseph's","32","16-16","905","305","33.7"
"111","Purdue","34","28-6","700","236","33.7"
"112","Kent St.","34","17-17","735","248","33.7"
"113","Coppin St.","32","5-27","732","247","33.7"
"114","Maryland","32","19-13","723","244","33.7"
"115","St. Francis Brooklyn","31","13-18","551","186","33.8"
"116","Idaho St.","30","14-16","616","208","33.8"
"117","Maine","32","6-26","755","255","33.8"
"118","Evansville","32","17-15","728","246","33.8"
"119","Sacred Heart","31","10-21","719","243","33.8"
"120","Michigan","35","28-7","574","194","33.8"
"121","Old Dominion","32","25-7","713","241","33.8"
"122","SMU","33","17-16","766","259","33.8"
"123","FIU","32","14-18","709","240","33.9"
"","Lipscomb","32","23-9","709","240","33.9"
"125","Yale","31","16-15","631","214","33.9"
"126","Louisiana","33","27-6","613","208","33.9"
"127","Harvard","31","18-13","666","226","33.9"
"128","Iowa St.","31","13-18","769","261","33.9"
"129","VMI","30","9-21","727","247","34.0"
"130","Utah","30","19-11","671","228","34.0"
"131","Towson","32","18-14","703","239","34.0"
"132","Gardner-Webb","32","14-18","752","256","34.0"
"133","Central Mich.","34","20-14","857","292","34.1"
"134","Troy","33","16-17","748","255","34.1"
"135","Coastal Caro.","32","14-18","809","276","34.1"
"136","Hartford","33","19-14","767","262","34.2"
"137","Vermont","35","27-8","726","248","34.2"
"138","Portland","32","10-22","793","271","34.2"
"139","North Florida","33","14-19","673","230","34.2"
"140","Arizona St.","31","20-11","746","255","34.2"
"141","Georgia St.","34","24-10","871","298","34.2"
"142","UAB","33","20-13","853","292","34.2"
"143","UNC Asheville","34","21-13","759","260","34.3"
"144","Toledo","34","23-11","703","241","34.3"
"145","Lamar University","32","19-13","603","207","34.3"
"146","Tulsa","31","19-12","821","282","34.3"
"147","Illinois","32","14-18","582","200","34.4"
"148","High Point","30","14-16","611","210","34.4"
"149","Radford","35","23-12","718","247","34.4"
"150","Cal St. Fullerton","31","20-11","613","211","34.4"
"151","Virginia Tech","32","21-11","824","284","34.5"
"152","Lehigh","30","16-14","815","281","34.5"
"153","La.-Monroe","31","16-15","751","259","34.5"
"154","UC Santa Barbara","32","23-9","661","228","34.5"
"155","Lafayette","31","10-21","716","247","34.5"
"156","Tulane","31","14-17","623","215","34.5"
"157","Manhattan","31","14-17","620","214","34.5"
"158","North Dakota St.","32","15-17","646","223","34.5"
"159","UTSA","33","19-14","795","275","34.6"
"160","UCLA","33","21-12","829","287","34.6"
"161","Ohio St.","32","24-8","722","250","34.6"
"162","McNeese","28","11-17","609","211","34.6"
"163","Idaho","31","22-9","753","261","34.7"
"164","A&M-Corpus Christi","29","11-18","646","224","34.7"
"165","Jackson St.","32","12-20","591","205","34.7"
"166","IUPUI","30","11-19","608","211","34.7"
"167","Massachusetts","33","13-20","654","227","34.7"
"168","Mt. St. Mary's","32","18-14","700","243","34.7"
"169","Southeastern La.","34","22-12","648","225","34.7"
"170","Alcorn","32","11-21","766","266","34.7"
"171","Wright St.","34","25-9","757","263","34.7"
"172","Saint Francis (PA)","30","18-12","705","245","34.8"
"173","Oregon St.","32","16-16","650","226","34.8"
"174","Morgan St.","32","13-19","687","239","34.8"
"175","Georgetown","30","15-15","744","259","34.8"
"176","Florida A&M","34","9-25","697","243","34.9"
"177","Dartmouth","27","7-20","631","220","34.9"
"178","Penn St.","34","21-13","625","218","34.9"
"179","San Jose St.","30","4-26","868","303","34.9"
"180","Howard","33","10-23","719","251","34.9"
"181","Washington St.","31","12-19","759","265","34.9"
"182","Col. of Charleston","33","26-7","670","234","34.9"
"183","Siena","32","8-24","647","226","34.9"
"184","Saint Louis","33","17-16","634","222","35.0"
"185","Notre Dame","35","21-14","791","277","35.0"
"186","Wisconsin","33","15-18","528","185","35.0"
"187","VCU","33","18-15","736","258","35.1"
"188","LSU","31","17-14","730","256","35.1"
"189","Stony Brook","32","13-19","627","220","35.1"
"190","Fordham","31","9-22","584","205","35.1"
"191","Chattanooga","33","10-23","649","228","35.1"
"192","UTRGV","32","15-17","634","223","35.2"
"193","Arizona","34","27-7","699","246","35.2"
"194","CSU Bakersfield","30","12-18","693","244","35.2"
"195","Oregon","35","23-12","775","273","35.2"
"196","UNLV","33","20-13","704","248","35.2"
"197","Southern California","35","24-11","826","291","35.2"
"198","Davidson","32","21-11","755","266","35.2"
"199","Montana St.","32","13-19","701","247","35.2"
"200","Morehead St.","29","8-21","661","233","35.2"
"201","Seattle U","33","20-13","689","243","35.3"
"202","George Mason","33","16-17","788","278","35.3"
"203","UMBC","34","24-10","785","277","35.3"
"204","Wofford","33","21-12","765","270","35.3"
"205","UMKC","32","10-22","643","227","35.3"
"206","East Carolina","30","10-20","637","225","35.3"
"207","Little Rock","32","7-25","761","269","35.3"
"208","Marshall","34","24-10","693","245","35.4"
"209","Purdue Fort Wayne","33","18-15","752","266","35.4"
"210","Holy Cross","31","12-19","735","260","35.4"
"211","Auburn","32","25-7","729","258","35.4"
"212","Monmouth","31","11-20","825","292","35.4"
"213","Western Ky.","35","25-10","782","277","35.4"
"214","Stanford","33","18-15","745","264","35.4"
"215","Boston U.","31","15-16","711","252","35.4"
"216","Arkansas","34","23-11","818","290","35.5"
"217","Fairleigh Dickinson","31","13-18","705","250","35.5"
"218","Clemson","32","23-9","682","242","35.5"
"219","UTEP","31","11-20","738","262","35.5"
"220","Princeton","29","13-16","614","218","35.5"
"221","Iona","33","20-13","715","254","35.5"
"222","Gonzaga","34","30-4","709","252","35.5"
"223","Indiana St.","31","13-18","633","225","35.5"
"224","Cleveland St.","35","12-23","813","289","35.5"
"225","Savannah St.","32","15-17","838","298","35.6"
"226","Central Ark.","33","17-16","646","230","35.6"
"227","Western Ill.","28","12-16","665","237","35.6"
"228","Akron","32","14-18","721","257","35.6"
"229","Mercer","32","18-14","836","298","35.6"
"230","Tennessee St.","30","15-15","760","271","35.7"
"231","CSUN","30","6-24","544","194","35.7"
"232","Colorado","32","17-15","743","265","35.7"
"233","George Washington","33","15-18","642","229","35.7"
"234","UT Martin","31","10-21","869","310","35.7"
"235","Rice","31","7-24","796","284","35.7"
"236","Northwestern","32","15-17","636","227","35.7"
"237","Western Caro.","32","13-19","790","282","35.7"
"238","Oral Roberts","32","11-21","731","261","35.7"
"239","Norfolk St.","33","14-19","829","296","35.7"
"240","Florida","32","20-12","616","220","35.7"
"241","Eastern Mich.","33","21-12","750","268","35.7"
"242","Wagner","33","23-10","649","232","35.7"
"243","Eastern Wash.","35","20-15","673","241","35.8"
"244","Colorado St.","32","11-21","842","302","35.9"
"245","Army West Point","30","13-17","699","251","35.9"
"246","Northern Ill.","32","13-19","763","274","35.9"
"247","Montana","33","26-7","568","204","35.9"
"248","Marquette","32","19-13","632","227","35.9"
"249","Utah St.","34","17-17","726","261","36.0"
"250","SFA","34","28-6","673","242","36.0"
"251","Loyola Maryland","31","9-22","628","226","36.0"
"252","UNI","32","16-16","664","239","36.0"
"253","NJIT","30","14-16","572","206","36.0"
"254","Oklahoma","31","18-13","782","282","36.1"
"255","Ball St.","32","19-13","715","258","36.1"
"256","UMES","32","7-25","750","271","36.1"
"257","Boston College","35","19-16","855","309","36.1"
"258","Louisiana Tech","33","17-16","635","230","36.2"
"259","Appalachian St.","33","15-18","640","232","36.3"
"260","The Citadel","32","11-21","913","331","36.3"
"261","Wichita St.","32","25-7","753","273","36.3"
"262","William & Mary","31","19-12","717","260","36.3"
"263","Hofstra","31","19-12","653","237","36.3"
"264","Incarnate Word","28","7-21","584","212","36.3"
"265","Pacific","32","14-18","707","257","36.4"
"266","Florida St.","31","20-11","723","263","36.4"
"267","UConn","32","14-18","791","288","36.4"
"268","Central Conn. St.","32","14-18","758","276","36.4"
"269","Navy","32","20-12","678","247","36.4"
"270","Long Beach St.","33","15-18","699","255","36.5"
"271","Presbyterian","32","11-21","652","238","36.5"
"272","Austin Peay","32","18-14","613","224","36.5"
"273","James Madison","32","10-22","711","260","36.6"
"274","South Carolina St.","32","10-22","752","275","36.6"
"275","Fresno St.","32","21-11","601","220","36.6"
"276","Drexel","33","13-20","672","246","36.6"
"277","Portland St.","33","20-13","654","240","36.7"
"278","Southern Miss.","34","16-18","847","311","36.7"
"279","Indiana","31","16-15","640","235","36.7"
"280","Liberty","35","21-14","816","300","36.8"
"281","SIUE","30","9-21","590","217","36.8"
"282","Bowling Green","32","16-16","709","261","36.8"
"283","Mississippi Val.","32","4-28","747","275","36.8"
"284","New Orleans","31","15-16","570","210","36.8"
"285","Elon","32","14-18","901","332","36.8"
"286","Brown","27","11-16","556","205","36.9"
"287","Northwestern St.","29","4-25","591","218","36.9"
"288","Marist","31","6-25","778","287","36.9"
"289","St. John's (NY)","33","16-17","824","304","36.9"
"290","Memphis","34","21-13","801","296","37.0"
"291","Charlotte","29","6-23","625","231","37.0"
"292","UMass Lowell","30","12-18","584","216","37.0"
"293","Oklahoma St.","34","20-14","692","256","37.0"
"294","Delaware","33","14-19","740","274","37.0"
