"1","Virginia","33","31-2","1762","53.4"
"2","Cincinnati","34","30-4","1943","57.1"
"3","UCF","32","19-13","1975","61.7"
"4","UNI","32","16-16","1990","62.2"
"5","Loyola Chicago","33","28-5","2054","62.2"
"6","UNC Greensboro","34","27-7","2121","62.4"
"7","Old Dominion","32","25-7","2010","62.8"
"8","Liberty","35","21-14","2215","63.3"
"9","Michigan","35","28-7","2224","63.5"
"10","New Mexico St.","33","28-5","2104","63.8"
"11","Evansville","32","17-15","2045","63.9"
"12","Saint Mary's (CA)","34","29-5","2173","63.9"
"13","SMU","33","17-16","2114","64.1"
"14","Radford","35","23-12","2249","64.3"
"15","Syracuse","33","20-13","2130","64.5"
"16","Grand Canyon","33","22-11","2135","64.7"
"","Texas Tech","33","24-9","2135","64.7"
"18","Bradley","33","20-13","2136","64.7"
"19","Michigan St.","33","29-4","2138","64.8"
"20","Rutgers","34","15-19","2204","64.8"
"21","Jacksonville St.","33","21-12","2142","64.9"
"","Houston","33","26-7","2142","64.9"
"23","Vermont","35","27-8","2277","65.1"
"24","Saint Louis","33","17-16","2157","65.4"
"25","Murray St.","31","26-5","2032","65.5"
"26","Purdue","34","28-6","2232","65.6"
"27","Wright St.","34","25-9","2234","65.7"
"28","Middle Tenn.","32","25-7","2104","65.8"
"29","Clemson","32","23-9","2106","65.8"
"30","Texas St.","33","15-18","2172","65.8"
"31","ETSU","34","25-9","2241","65.9"
"32","Saint Peter's","32","14-18","2111","66.0"
"33","Wisconsin","33","15-18","2177","66.0"
"34","Northern Ky.","32","22-10","2112","66.0"
"35","San Diego","32","19-13","2114","66.1"
"36","Tennessee","33","25-8","2191","66.4"
"37","Navy","32","20-12","2125","66.4"
"38","High Point","30","14-16","1993","66.4"
"39","Northwestern","32","15-17","2127","66.5"
"40","Harvard","31","18-13","2062","66.5"
"41","Missouri St.","33","18-15","2197","66.6"
"42","Ohio St.","32","24-8","2134","66.7"
"43","Georgia","33","18-15","2202","66.7"
"44","Eastern Mich.","33","21-12","2205","66.8"
"45","Maryland","32","19-13","2140","66.9"
"46","Penn St.","34","21-13","2275","66.9"
"47","Tennessee St.","30","15-15","2010","67.0"
"48","Gonzaga","34","30-4","2282","67.1"
"49","UC Irvine","35","18-17","2350","67.1"
"50","BYU","34","24-10","2286","67.2"
"51","New Hampshire","31","10-21","2085","67.3"
"52","Georgia St.","34","24-10","2288","67.3"
"53","Jackson St.","32","12-20","2161","67.5"
"54","Davidson","32","21-11","2162","67.6"
"55","Utah Valley","33","23-10","2232","67.6"
"56","Holy Cross","31","12-19","2099","67.7"
"57","Georgia Tech","32","13-19","2170","67.8"
"58","UC Davis","32","22-10","2172","67.9"
"59","Mississippi St.","33","22-11","2240","67.9"
"","Kansas St.","33","22-11","2240","67.9"
"61","Rhode Island","32","25-7","2173","67.9"
"","San Diego St.","32","22-10","2173","67.9"
"63","La.-Monroe","31","16-15","2107","68.0"
"","Miami (FL)","31","22-9","2107","68.0"
"65","South Dakota","34","26-8","2314","68.1"
"66","Sam Houston St.","33","19-14","2247","68.1"
"67","Missouri","32","20-12","2179","68.1"
"68","SFA","34","28-6","2316","68.1"
"69","Albany (NY)","32","22-10","2182","68.2"
"","Valparaiso","32","15-17","2182","68.2"
"71","Texas","33","19-14","2251","68.2"
"72","Wagner","33","23-10","2256","68.4"
"73","Eastern Ill.","31","12-19","2120","68.4"
"74","San Francisco","33","18-15","2259","68.5"
"75","Milwaukee","33","16-17","2260","68.5"
"","Furman","33","23-10","2260","68.5"
"77","Notre Dame","35","21-14","2398","68.5"
"78","Penn","32","24-8","2198","68.7"
"79","Nebraska","32","22-10","2199","68.7"
"80","Montana","33","26-7","2268","68.7"
"81","Utah","30","19-11","2062","68.7"
"82","Col. of Charleston","33","26-7","2269","68.8"
"83","Fresno St.","32","21-11","2201","68.8"
"84","Northeastern","33","23-10","2270","68.8"
"85","Charleston So.","31","15-16","2133","68.8"
"","Boise St.","31","23-8","2133","68.8"
"87","Idaho","31","22-9","2134","68.8"
"88","Mercer","32","18-14","2204","68.9"
"89","CSU Bakersfield","30","12-18","2068","68.9"
"90","South Carolina","33","17-16","2277","69.0"
"","West Virginia","34","24-10","2346","69.0"
"92","Hawaii","30","17-13","2071","69.0"
"93","Southern Ill.","33","20-13","2280","69.1"
"94","UC Santa Barbara","32","23-9","2211","69.1"
"95","Belmont","33","24-9","2284","69.2"
"96","South Alabama","32","14-18","2218","69.3"
"97","Southeastern La.","34","22-12","2357","69.3"
"98","Lamar University","32","19-13","2220","69.4"
"99","Baylor","33","19-14","2291","69.4"
"100","Florida","32","20-12","2222","69.4"
"101","N.C. Central","34","19-15","2361","69.4"
"102","UMBC","34","24-10","2362","69.5"
"103","Duke","33","26-7","2297","69.6"
"104","UC Riverside","31","9-22","2163","69.8"
"105","UAB","33","20-13","2303","69.8"
"106","Texas A&M","32","20-12","2234","69.8"
"107","Western Ky.","35","25-10","2446","69.9"
"108","Miami (OH)","33","16-17","2307","69.9"
"","Wofford","33","21-12","2307","69.9"
"110","Alabama","34","19-15","2379","70.0"
"111","Coastal Caro.","32","14-18","2241","70.0"
"112","Cal St. Fullerton","31","20-11","2171","70.0"
"113","Little Rock","32","7-25","2242","70.1"
"114","Fla. Atlantic","31","12-19","2172","70.1"
"115","Colgate","32","19-13","2243","70.1"
"116","Louisville","34","21-13","2384","70.1"
"117","Ga. Southern","33","21-12","2315","70.2"
"118","Duquesne","32","16-16","2245","70.2"
"119","Manhattan","31","14-17","2175","70.2"
"120","New Orleans","31","15-16","2177","70.2"
"121","Hartford","33","19-14","2318","70.2"
"122","Indiana","31","16-15","2178","70.3"
"123","George Washington","33","15-18","2319","70.3"
