"1","Lehigh","31","20-11","287","679","42.3"
"2","Wofford","33","29-4","364","874","41.6"
"3","Virginia","32","29-3","271","663","40.9"
"4","South Dakota St.","33","24-9","327","802","40.8"
"5","Fairleigh Dickinson","34","21-13","263","651","40.4"
"6","Grambling","33","17-16","216","541","39.9"
"7","La.-Monroe","33","18-15","330","835","39.5"
"8","Virginia Tech","32","24-8","307","779","39.4"
"9","Marquette","33","24-9","311","791","39.3"
"10","Creighton","33","19-14","357","908","39.3"
"11","Omaha","32","21-11","282","719","39.2"
"12","Gardner-Webb","34","23-11","272","696","39.1"
"13","Colgate","34","24-10","305","786","38.8"
"14","Southern Miss.","32","20-12","265","683","38.8"
"15","Northeastern","33","23-10","322","830","38.8"
"16","Georgia St.","33","24-9","324","836","38.8"
"17","Abilene Christian","33","27-6","246","637","38.6"
"18","Hofstra","35","27-8","308","800","38.5"
"19","Western Ill.","31","10-21","241","626","38.5"
"20","Oakland","33","16-17","314","816","38.5"
"21","Utah Valley","34","25-9","277","721","38.4"
"22","Michigan St.","34","28-6","282","735","38.4"
"23","Southern California","33","16-17","281","735","38.2"
"24","Pepperdine","34","16-18","313","819","38.2"
"25","Presbyterian","33","18-15","361","945","38.2"
"26","Austin Peay","33","22-11","268","702","38.2"
"27","Fresno St.","32","23-9","342","897","38.1"
"28","Hartford","33","18-15","322","846","38.1"
"29","Lafayette","30","10-20","280","736","38.0"
"30","Montana","34","26-8","281","739","38.0"
"31","Toledo","32","25-7","316","832","38.0"
"32","Radford","33","22-11","285","751","37.9"
"33","Purdue Fort Wayne","33","18-15","360","949","37.9"
"34","Saint Mary's (CA)","33","22-11","245","648","37.8"
"35","Delaware","33","17-16","282","746","37.8"
"36","Mississippi St.","33","23-10","284","752","37.8"
"37","Quinnipiac","31","16-15","348","923","37.7"
"38","Auburn","35","26-9","396","1052","37.6"
"39","UC Riverside","33","10-23","279","743","37.6"
"40","Lipscomb","33","26-7","291","776","37.5"
"41","South Alabama","34","17-17","285","761","37.5"
"42","Montana St.","32","15-17","306","818","37.4"
"43","Southern Ill.","32","17-15","213","570","37.4"
"44","Belmont","32","27-5","334","894","37.4"
"45","Winthrop","30","18-12","372","997","37.3"
"46","North Dakota","30","12-18","241","647","37.2"
"47","Yale","29","22-7","222","597","37.2"
"48","Oklahoma St.","32","12-20","280","753","37.2"
"49","Seattle U","32","18-14","232","624","37.2"
"50","FGCU","32","14-18","269","724","37.2"
"51","Central Mich.","34","23-11","294","793","37.1"
"52","Idaho","32","5-27","251","678","37.0"
"53","Eastern Ill.","32","14-18","272","735","37.0"
"54","Western Caro.","32","7-25","296","800","37.0"
"55","Southeast Mo. St.","31","10-21","266","719","37.0"
"56","Utah","31","17-14","298","806","37.0"
"57","Samford","33","17-16","254","687","37.0"
"58","Cleveland St.","31","10-21","303","820","37.0"
"59","Norfolk St.","34","21-13","263","713","36.9"
"60","Sam Houston St.","32","21-11","302","819","36.9"
"61","Harvard","29","18-11","250","679","36.8"
"62","Florida A&M","31","12-19","180","489","36.8"
"63","Texas Tech","32","26-6","232","631","36.8"
"64","Liberty","34","28-6","300","817","36.7"
"65","Dartmouth","30","11-19","264","720","36.7"
"66","Nicholls St.","31","14-17","324","884","36.7"
"67","Coastal Caro.","31","15-16","249","680","36.6"
"68","Wisconsin","33","23-10","235","642","36.6"
"69","Loyola Chicago","34","20-14","206","563","36.6"
"70","North Dakota St.","33","18-15","315","861","36.6"
"71","Northern Ky.","34","26-8","301","823","36.6"
"72","South Carolina","32","16-16","242","662","36.6"
"73","Bradley","34","20-14","231","632","36.6"
"74","North Carolina","33","27-6","289","791","36.5"
"75","Gonzaga","33","30-3","257","704","36.5"
"76","Iowa St.","34","23-11","288","789","36.5"
"77","Denver","30","8-22","227","622","36.5"
"78","Chattanooga","32","12-20","290","795","36.5"
"79","Idaho St.","30","11-19","274","752","36.4"
"80","Purdue","32","23-9","311","854","36.4"
"81","Weber St.","33","18-15","249","684","36.4"
"82","Drake","33","24-9","273","750","36.4"
"83","Howard","33","17-16","234","643","36.4"
"84","Kentucky","33","27-6","199","547","36.4"
"85","Washington St.","32","11-21","301","828","36.4"
"86","Furman","32","25-7","330","908","36.3"
"87","Missouri","32","15-17","264","727","36.3"
"88","Marist","31","12-19","245","675","36.3"
"89","James Madison","33","14-19","243","670","36.3"
"90","Indiana St.","31","15-16","178","491","36.3"
"91","Oral Roberts","32","11-21","266","734","36.2"
"92","San Diego St.","34","21-13","261","721","36.2"
"93","Columbia","28","10-18","237","655","36.2"
"94","Tennessee","34","29-5","233","644","36.2"
"95","Northern Colo.","32","21-11","307","849","36.2"
"96","Iowa","33","22-11","267","739","36.1"
"97","St. John's (NY)","33","21-12","281","778","36.1"
"98","CSUN","34","13-21","234","648","36.1"
"99","UC Irvine","35","30-5","238","660","36.1"
"100","Santa Clara","31","16-15","239","663","36.0"
"101","ETSU","33","24-9","261","725","36.0"
"102","Robert Morris","34","18-16","273","759","36.0"
"103","Houston","34","31-3","313","871","35.9"
"104","VMI","32","11-21","323","899","35.9"
"105","Niagara","32","13-19","265","738","35.9"
"106","Colorado St.","32","12-20","259","722","35.9"
"107","Appalachian St.","32","11-21","292","814","35.9"
"108","Georgetown","32","19-13","264","736","35.9"
"109","Ole Miss","32","20-12","261","729","35.8"
"110","Bowling Green","34","22-12","272","762","35.7"
"111","Sacred Heart","32","15-17","243","681","35.7"
"112","Northern Ill.","34","17-17","229","642","35.7"
"113","Detroit Mercy","31","11-20","294","825","35.6"
"114","UMKC","32","11-21","259","728","35.6"
"115","Elon","32","11-21","335","942","35.6"
"116","UCLA","33","17-16","256","721","35.5"
"117","Utah St.","34","28-6","267","752","35.5"
"118","San Francisco","31","21-10","258","727","35.5"
"119","Drexel","32","13-19","237","669","35.4"
"120","Hawaii","31","18-13","266","751","35.4"
"121","UCF","31","23-8","211","596","35.4"
"122","UIC","32","16-16","303","856","35.4"
"123","Little Rock","31","10-21","206","582","35.4"
"124","Davidson","34","24-10","312","882","35.4"
"125","Holy Cross","33","16-17","237","670","35.4"
"126","Maryland","32","22-10","232","657","35.3"
"127","Old Dominion","34","26-8","258","731","35.3"
"128","Villanova","34","25-9","361","1023","35.3"
"129","Vermont","33","27-6","257","729","35.3"
"130","Boise St.","33","13-20","252","715","35.2"
"131","Central Ark.","33","14-19","276","784","35.2"
"132","Charleston So.","32","17-15","317","901","35.2"
"133","TCU","33","20-13","254","722","35.2"
"134","San Diego","36","21-15","284","808","35.1"
"135","Bucknell","33","21-12","311","885","35.1"
"136","Nevada","33","29-4","292","831","35.1"
"137","Penn","31","19-12","282","803","35.1"
"138","Saint Francis (PA)","33","18-15","254","724","35.1"
"139","NC State","34","23-11","275","784","35.1"
"140","Iona","32","17-15","282","804","35.1"
"141","Butler","32","16-16","280","799","35.0"
"142","Kansas","34","25-9","246","702","35.0"
"143","Michigan","34","28-6","274","782","35.0"
"144","Massachusetts","32","11-21","256","731","35.0"
"145","Fairfield","31","9-22","259","740","35.0"
"146","Eastern Wash.","34","16-18","310","886","35.0"
"147","Cincinnati","34","28-6","226","646","35.0"
"148","Pacific","32","14-18","198","566","35.0"
"149","N.C. A&T","32","19-13","227","649","35.0"
"150","California","31","8-23","207","592","35.0"
"151","UNCW","33","10-23","260","744","34.9"
"152","NJIT","34","22-12","241","690","34.9"
"153","Binghamton","33","10-23","275","788","34.9"
"154","UNI","34","16-18","276","792","34.8"
"155","Murray St.","31","27-4","242","695","34.8"
"156","UNC Greensboro","35","29-6","275","790","34.8"
"157","Rice","32","13-19","277","797","34.8"
"158","Richmond","33","13-20","251","723","34.7"
"159","Albany (NY)","32","12-20","274","790","34.7"
"160","Arkansas","33","18-15","251","725","34.6"
"161","Washington","34","26-8","254","734","34.6"
"162","Boston U.","33","15-18","221","639","34.6"
"163","Northern Ariz.","31","10-21","259","749","34.6"
