"1","Incarnate Word","31","6-25","448","553","81.0"
"2","Hofstra","35","27-8","615","767","80.2"
"3","Ole Miss","32","20-12","458","585","78.3"
"4","Central Conn. St.","31","11-20","496","634","78.2"
"5","La.-Monroe","33","18-15","546","698","78.2"
"6","Hampton","31","15-16","548","701","78.2"
"7","South Dakota St.","33","24-9","494","635","77.8"
"8","Louisville","33","20-13","519","670","77.5"
"9","Lehigh","31","20-11","480","620","77.4"
"10","North Dakota St.","33","18-15","445","575","77.4"
"11","Toledo","32","25-7","401","520","77.1"
"12","Liberty","34","28-6","374","485","77.1"
"13","Nicholls St.","31","14-17","322","418","77.0"
"14","La Salle","31","10-21","394","512","77.0"
"15","Gonzaga","33","30-3","551","718","76.7"
"16","Col. of Charleston","33","24-9","470","615","76.4"
"17","Tennessee","34","29-5","520","682","76.2"
"18","Pepperdine","34","16-18","529","696","76.0"
"19","Campbell","33","20-13","448","590","75.9"
"20","Marquette","33","24-9","516","680","75.9"
"21","Denver","30","8-22","349","460","75.9"
"22","Virginia Tech","32","24-8","413","545","75.8"
"23","Sam Houston St.","32","21-11","389","514","75.7"
"24","Washington St.","32","11-21","426","564","75.5"
"25","Sacred Heart","32","15-17","545","722","75.5"
"26","LSU","32","26-6","561","744","75.4"
"27","UT Martin","31","12-19","398","528","75.4"
"28","Lipscomb","33","26-7","548","727","75.4"
"29","Drexel","32","13-19","440","584","75.3"
"30","Drake","33","24-9","457","607","75.3"
"31","Vermont","33","27-6","500","665","75.2"
"32","Saint Joseph's","33","14-19","462","615","75.1"
"33","Northeastern","33","23-10","461","614","75.1"
"34","Colorado","34","22-12","539","718","75.1"
"35","Michigan St.","34","28-6","510","680","75.0"
"36","Fla. Atlantic","32","17-15","401","535","75.0"
"37","Bucknell","33","21-12","489","653","74.9"
"38","Davidson","34","24-10","393","525","74.9"
"39","Maryland","32","22-10","437","584","74.8"
"40","San Diego","36","21-15","479","641","74.7"
"41","Utah St.","34","28-6","543","727","74.7"
"42","UNI","34","16-18","401","537","74.7"
"43","Virginia","32","29-3","388","520","74.6"
