"1","Gonzaga","33","30-3","2932","88.8"
"2","Belmont","32","27-5","2791","87.2"
"3","North Carolina","33","27-6","2840","86.1"
"4","The Citadel","30","12-18","2553","85.1"
"5","Buffalo","34","31-3","2888","84.9"
"6","South Dakota St.","33","24-9","2789","84.5"
"7","Lipscomb","33","26-7","2759","83.6"
"8","Duke","34","29-5","2839","83.5"
"9","Hofstra","35","27-8","2919","83.4"
"10","Winthrop","30","18-12","2499","83.3"
"11","Murray St.","31","27-4","2582","83.3"
"12","Wofford","33","29-4","2739","83.0"
"13","Purdue Fort Wayne","33","18-15","2728","82.7"
"14","Central Mich.","34","23-11","2810","82.6"
"15","Eastern Ky.","31","13-18","2562","82.6"
"16","Ga. Southern","33","21-12","2726","82.6"
"17","FIU","32","19-13","2643","82.6"
"18","Austin Peay","33","22-11","2712","82.2"
"19","Houston Baptist","30","12-18","2465","82.2"
"20","Tennessee","34","29-5","2781","81.8"
"21","Hampton","31","15-16","2531","81.6"
"22","Louisiana","32","19-13","2612","81.6"
"23","LSU","32","26-6","2604","81.4"
"24","Yale","29","22-7","2353","81.1"
"25","Nevada","33","29-4","2662","80.7"
"26","Memphis","35","22-13","2815","80.4"
"27","Green Bay","33","17-16","2653","80.4"
"28","Marshall","34","20-14","2725","80.1"
"29","Texas Southern","34","21-13","2719","80.0"
"30","Lehigh","31","20-11","2479","80.0"
"31","Sacred Heart","32","15-17","2558","79.9"
"32","Appalachian St.","32","11-21","2557","79.9"
"","Georgetown","32","19-13","2557","79.9"
"34","NC State","34","23-11","2711","79.7"
"35","Auburn","35","26-9","2785","79.6"
"36","Weber St.","33","18-15","2617","79.3"
"37","ETSU","33","24-9","2613","79.2"
"38","Howard","33","17-16","2612","79.2"
"39","Utah St.","34","28-6","2690","79.1"
"","Northern Ky.","34","26-8","2690","79.1"
"41","BYU","32","19-13","2527","79.0"
"42","Omaha","32","21-11","2523","78.8"
"43","Michigan St.","34","28-6","2680","78.8"
"44","Presbyterian","33","18-15","2601","78.8"
"45","Lamar University","33","20-13","2597","78.7"
"46","Creighton","33","19-14","2590","78.5"
"47","Bowling Green","34","22-12","2668","78.5"
"48","La.-Monroe","33","18-15","2584","78.3"
"","Iowa","33","22-11","2584","78.3"
"50","Gardner-Webb","34","23-11","2662","78.3"
"51","Samford","33","17-16","2583","78.3"
"52","Montana St.","32","15-17","2502","78.2"
"53","UCLA","33","17-16","2580","78.2"
"54","New Mexico St.","34","30-4","2657","78.1"
"55","Jacksonville St.","33","24-9","2574","78.0"
"56","Furman","32","25-7","2492","77.9"
"57","Arizona St.","32","22-10","2490","77.8"
"58","Marquette","33","24-9","2565","77.7"
"59","Utah Valley","34","25-9","2640","77.6"
"60","UTSA","32","17-15","2481","77.5"
"61","St. John's (NY)","33","21-12","2558","77.5"
"62","Iowa St.","34","23-11","2633","77.4"
"63","Portland St.","32","16-16","2475","77.3"
"64","Mississippi St.","33","23-10","2552","77.3"
"65","Toledo","32","25-7","2473","77.3"
"66","Georgia St.","33","24-9","2543","77.1"
"67","DePaul","30","15-15","2306","76.9"
"68","Iona","32","17-15","2459","76.8"
