"1","FIU","32","19-13","339","10.6"
"2","Eastern Ky.","31","13-18","317","10.2"
"3","Duke","34","29-5","322","9.5"
"4","Auburn","35","26-9","330","9.4"
"5","UTRGV","35","19-16","327","9.3"
"6","Marshall","34","20-14","313","9.2"
"7","Rider","31","16-15","282","9.1"
"8","LSU","32","26-6","291","9.1"
"9","Washington","34","26-8","306","9.0"
"10","Prairie View","35","22-13","309","8.8"
"","UNC Greensboro","35","29-6","309","8.8"
"12","St. John's (NY)","33","21-12","291","8.8"
"13","Furman","32","25-7","280","8.8"
"14","Abilene Christian","33","27-6","288","8.7"
"15","Loyola Maryland","32","11-21","278","8.7"
"16","New Orleans","32","19-13","277","8.7"
"17","Temple","33","23-10","284","8.6"
"18","Lamar University","33","20-13","283","8.6"
"19","Syracuse","33","20-13","273","8.3"
"20","Portland St.","32","16-16","264","8.3"
"21","Arkansas","33","18-15","270","8.2"
"22","Mississippi St.","33","23-10","267","8.1"
"23","Memphis","35","22-13","279","8.0"
"24","Texas Southern","34","21-13","271","8.0"
"25","Georgia St.","33","24-9","263","8.0"
"26","VCU","32","25-7","255","8.0"
"27","UMBC","34","21-13","268","7.9"
"28","South Fla.","32","19-13","252","7.9"
"","Charleston So.","32","17-15","252","7.9"
"30","Green Bay","33","17-16","258","7.8"
"31","Duquesne","32","19-13","250","7.8"
"32","Houston Baptist","30","12-18","234","7.8"
"33","Columbia","28","10-18","218","7.8"
"34","Oregon","35","23-12","272","7.8"
"35","Southern Miss.","32","20-12","248","7.8"
"36","Ga. Southern","33","21-12","255","7.7"
"37","Sacramento St.","31","15-16","239","7.7"
"38","Detroit Mercy","31","11-20","238","7.7"
"39","Brown","30","19-11","230","7.7"
"","Morgan St.","30","9-21","230","7.7"
"41","Penn St.","32","14-18","245","7.7"
"42","Austin Peay","33","22-11","252","7.6"
"43","Kansas St.","33","25-8","251","7.6"
"44","Central Mich.","34","23-11","258","7.6"
"45","Murray St.","31","27-4","235","7.6"
"46","Savannah St.","31","11-20","234","7.5"
"","Bethune-Cookman","31","14-17","234","7.5"
"48","Gonzaga","33","30-3","249","7.5"
"","Richmond","33","13-20","249","7.5"
"50","Lipscomb","33","26-7","248","7.5"
"51","Purdue Fort Wayne","33","18-15","247","7.5"
"52","Fairleigh Dickinson","34","21-13","254","7.5"
"53","Maine","32","5-27","239","7.5"
"54","Jacksonville St.","33","24-9","246","7.5"
"","ETSU","33","24-9","246","7.5"
"56","Providence","34","18-16","253","7.4"
"57","La Salle","31","10-21","230","7.4"
"58","Eastern Mich.","32","15-17","237","7.4"
"59","Illinois","33","12-21","244","7.4"
"60","Alcorn","31","10-21","229","7.4"
"61","Sam Houston St.","32","21-11","236","7.4"
"","Texas Tech","32","26-6","236","7.4"
"63","American","30","15-15","221","7.4"
"64","Nebraska","34","18-16","249","7.3"
"","Robert Morris","34","18-16","249","7.3"
"","Buffalo","34","31-3","249","7.3"
"67","California","31","8-23","227","7.3"
"68","Ole Miss","32","20-12","234","7.3"
"","Alabama A&M","32","5-27","234","7.3"
"70","Holy Cross","33","16-17","241","7.3"
"71","Tennessee St.","30","9-21","219","7.3"
"72","Florida A&M","31","12-19","226","7.3"
"","Tennessee Tech","31","8-23","226","7.3"
"74","UMKC","32","11-21","233","7.3"
"75","East Carolina","31","10-21","224","7.2"
"","Loyola Marymount","31","20-11","224","7.2"
"77","Samford","33","17-16","238","7.2"
"78","NC State","34","23-11","245","7.2"
"79","UT Martin","31","12-19","223","7.2"
"80","North Carolina","33","27-6","237","7.2"
"81","Florida","34","19-15","244","7.2"
"82","Fresno St.","32","23-9","228","7.1"
"83","Rhode Island","33","18-15","235","7.1"
"84","Saint Louis","35","23-12","248","7.1"
"85","Louisiana","32","19-13","226","7.1"
"86","TCU","33","20-13","233","7.1"
"87","Iowa St.","34","23-11","238","7.0"
"","Seton Hall","33","20-13","231","7.0"
"89","Florida St.","34","27-7","237","7.0"
"90","Western Ky.","34","20-14","235","6.9"
"91","Hartford","33","18-15","228","6.9"
"","IUPUI","33","16-17","228","6.9"
"93","Missouri St.","32","16-16","221","6.9"
"","Georgia Tech","32","14-18","221","6.9"
"","Manhattan","32","11-21","221","6.9"
"96","Delaware St.","31","6-25","214","6.9"
"97","Texas St.","33","24-9","227","6.9"
"","Pittsburgh","33","14-19","227","6.9"
"","Wofford","33","29-4","227","6.9"
"100","New Mexico","32","14-18","220","6.9"
"101","Kansas","34","25-9","233","6.9"
"","Gardner-Webb","34","23-11","233","6.9"
"103","Kent St.","32","22-10","219","6.8"
"","FGCU","32","14-18","219","6.8"
"105","Belmont","32","27-5","218","6.8"
"","LIU Brooklyn","32","16-16","218","6.8"
"107","VMI","32","11-21","217","6.8"
"","Iona","32","17-15","217","6.8"
"109","Penn","31","19-12","210","6.8"
"","Stetson","31","7-24","210","6.8"
"111","Monmouth","35","14-21","237","6.8"
"112","Creighton","33","19-14","223","6.8"
"113","Ark.-Pine Bluff","32","13-19","216","6.8"
"","Southern U.","32","7-25","216","6.8"
"115","Pepperdine","34","16-18","229","6.7"
"116","Texas A&M","32","14-18","215","6.7"
"","N.C. A&T","32","19-13","215","6.7"
"118","Nicholls St.","31","14-17","208","6.7"
"119","The Citadel","30","12-18","201","6.7"
